path,sentence
common_voice_id_39599471.wav,dia tidak sepenuhnya mempercayaiku
common_voice_id_32165882.wav,aku juga tidak mengerti
common_voice_id_27657418.wav,berharap kau di sini
common_voice_id_23033570.wav,maha suci allah
common_voice_id_40088845.wav,pada akhirnya dia memilih anak kucing yang satunya
common_voice_id_28537487.wav,tolong nyalakan lampu kamar
common_voice_id_36134676.wav,kucingku tersayang sudah seminggu hilang
common_voice_id_27597691.wav,bawalah payung untuk berjagajaga kalau hujan
common_voice_id_20425643.wav,inilah dunia kecil
common_voice_id_32647488.wav,ketika dia sampai stasiun keretanya telah berangkat
common_voice_id_40538729.wav,karena sibuk saya tidak bisa makan siang
common_voice_id_34438250.wav,kereta ini pergi ke tokyo
common_voice_id_39610466.wav,bangunan besar itu gemerlap dengan cahaya
common_voice_id_27407521.wav,siapa yang terbaik dia lah yang layak menjadi pemenang
common_voice_id_22185104.wav,nol
common_voice_id_25649959.wav,dengarkan aku
common_voice_id_27769090.wav,rumahku sederhana tapi aku menyukainya
common_voice_id_24994697.wav,tugas saya belom kelar
common_voice_id_27389019.wav,ada seekor kucing
common_voice_id_40699655.wav,apakah anda memiliki asuransi jiwa
common_voice_id_39780834.wav,itulah yang dibicarakan oleh tom
common_voice_id_28269334.wav,saya makan separuh roti
common_voice_id_40699595.wav,tom pergi melewati sungai yang dangkal dengan berjalan kaki
common_voice_id_31406618.wav,sebelah matanya buta
common_voice_id_30820988.wav,tadi pagi saya ketemu bapakmu
common_voice_id_40699918.wav,bagaimana bisa aku tidak menyadari hal ini
common_voice_id_36506509.wav,tom merasa seperti sedang tidak belajar
common_voice_id_19424182.wav,itu tadi menarik ya
common_voice_id_28301762.wav,saya belajar bahasa jepang dengan mendengarkan kaset
common_voice_id_40116345.wav,si miskin dan si penindas bertemu tuhan yang memberikan terang bagi mata keduanya
common_voice_id_36921601.wav,apakah saya boleh pinjam gunting
common_voice_id_28657647.wav,saya diminta untuk meneruskan pesan ini kepadamu
common_voice_id_35430385.wav,kecepatan pesawat jauh lebih tinggi daripada helikopter
common_voice_id_31615099.wav,tak ada yang ingin tahu negaraku
common_voice_id_37404583.wav,dia seorang yang mudah diajari
common_voice_id_25779064.wav,kaki saya lelah karena banyak berjalan
common_voice_id_39703948.wav,ayahku sudah baya
common_voice_id_32775898.wav,kapan novel barumu akan diterbitkan
common_voice_id_32183759.wav,tom tidak pernah sekalipun meninggalkan rumah
common_voice_id_36921561.wav,kesabaran merupakan kebajikan yang sukar ditemukan belakangan ini
common_voice_id_39591296.wav,akurasi merupakan hal yang penting dalam aritmatika
common_voice_id_24142409.wav,aku ingin kamu
common_voice_id_35278976.wav,anda membutuhkannya
common_voice_id_27795914.wav,jalan mana yang menuju gedung kota
common_voice_id_38420123.wav,tom terus makan
common_voice_id_38746770.wav,tom menaiki tangga secara perlahan
common_voice_id_31392395.wav,aku dalam masalah ya
common_voice_id_27647723.wav,yang kamu katakan itu tidak masuk akal
common_voice_id_26978766.wav,katamu kau bisa nyatanya sampai sekarang belum selesai
common_voice_id_30490454.wav,mungkin dia sedang sakit
common_voice_id_37853448.wav,maria berkata kepada dirinya sendiri aku sangat beruntung
common_voice_id_35279569.wav,aku tahu bahwa kau memiliki masalah ketika kau masih kecil
common_voice_id_39588342.wav,orang yang memakai kacamata itu adalah pak matsui
common_voice_id_26978740.wav,kamu sudah cuci piring atau belum
common_voice_id_37896785.wav,apa yang membuatmu begitu sedih
common_voice_id_20953397.wav,selamat
common_voice_id_27237232.wav,apakah anda merasa bersalah
common_voice_id_27210036.wav,sami berlari ke kamar tidur layla
common_voice_id_26613541.wav,mengemis meski hanya tiga hari akan menjadi kebiasaan
common_voice_id_36801883.wav,anda tidak perlu mengatakan apaapa lagi
common_voice_id_30586398.wav,sepertinya tom dan mary tidak benarbenar ingin melakukannya
common_voice_id_37412665.wav,saya membersihkan kamar karena kotor
common_voice_id_35282811.wav,apakah kamu sudah makan siang
common_voice_id_35322705.wav,ini satusatunya harapan saya
common_voice_id_27391378.wav,tom tahu dia mendengar sesuatu
common_voice_id_27642028.wav,ini kapalku
common_voice_id_35928973.wav,ketika saya datang ke sini saya tidak kenal siapa pun
common_voice_id_24034326.wav,kesimpulan ini sulit untuk dipungkiri
common_voice_id_24034328.wav,cek dana masuk
common_voice_id_27707128.wav,sapporo merupakan kota terbesar kelima di jepang
common_voice_id_27707135.wav,boleh minta api
common_voice_id_39917054.wav,aku berpikir untuk mengganti pemasokku
common_voice_id_39917058.wav,dia takut dengan istrinya
common_voice_id_35278186.wav,merauke adalah kota paling timur di indonesia
common_voice_id_35278189.wav,tidak ada ruang untuk alasan ketika itu datang dari kelalaian anda adakah
common_voice_id_27816925.wav,saya lahir di kota kecil
common_voice_id_27816928.wav,ini adalah manna dari surga
common_voice_id_24041300.wav,coba lakukan dengan cara berbeda
common_voice_id_24041303.wav,kuingin pergi sendiri berlibur ke pulau tak berpenghuni itu
common_voice_id_31745302.wav,bila aku katakan pada ibuku dia akan kuatir maka aku tidak berfikir untuk mengatakannya
common_voice_id_31745422.wav,pekerjaan itu memerlukan banyak tenaga
common_voice_id_25255414.wav,dia suka mendengarkan musik
common_voice_id_25255416.wav,kami melihat sebuah pulau di kejauhan
common_voice_id_23932392.wav,iya
common_voice_id_23932394.wav,sembilan
common_voice_id_30399553.wav,aku suka biru
common_voice_id_30399580.wav,buat apa ributribut
common_voice_id_40699760.wav,adanya pertentangan paham itu menimbulkan kesukaran
common_voice_id_40699762.wav,separuh dari nasinya terbuang karena sudah basi
common_voice_id_28140524.wav,dia merawat anjing saya
common_voice_id_28140532.wav,saya meminjam telepon dari pak kimura
common_voice_id_32120579.wav,hampir tidak ada apaapa di kamar tersebut
common_voice_id_32120582.wav,saya makan daging tebal
common_voice_id_25643920.wav,ada terlalu banyak perabotan di ruangan ini
common_voice_id_25643921.wav,bank buka dari pukul sembilan pagi sampai pukul tiga sore
common_voice_id_39871012.wav,kecelakaan itu mengakibatkan kemacetan
common_voice_id_39871022.wav,apakah kau melihat bukuku
common_voice_id_35280421.wav,makasih banyak
common_voice_id_35280422.wav,rapat tersebut ditunda hingga jumat depan
common_voice_id_37374902.wav,tom sekarang menyadari mary tidak sedang bercanda
common_voice_id_37374904.wav,janganlah kau terus bermuram durja
common_voice_id_28513844.wav,apa ini milikmu
common_voice_id_28513845.wav,kita makan untuk hidup bukan hidup untuk makan
common_voice_id_22984696.wav,tom terlihat tidak tertarik
common_voice_id_22984697.wav,maha suci allah
common_voice_id_32091678.wav,masih ada orangorang yang tidak bisa membaca
common_voice_id_32091713.wav,kaki kiri mary lumpuh
common_voice_id_36115853.wav,saya memberi tahu pak lee makna perkataan ini
common_voice_id_36116026.wav,kamu harus berhenti merokok
common_voice_id_22528019.wav,satu
common_voice_id_22528020.wav,tiga
common_voice_id_25267942.wav,dimanakah rasa malumu hingga kamu berani berbuat sepert itu
common_voice_id_25267945.wav,saya pergi ke rumah teman setelah pelajaran selesai
common_voice_id_39798208.wav,apakah kamu sudah makan
common_voice_id_39798209.wav,berdasarkan konvensi sudah sewajarnya pria melindungi wanita
common_voice_id_33020217.wav,apa ada mesin cuci di dalam rumahnya
common_voice_id_33020219.wav,saya kemarin di bus tidak sengaja bertemu dengan kawan lama
common_voice_id_35366254.wav,ruangan ini tidak mendapat banyak sinar matahari
common_voice_id_35366376.wav,ini alamat email saya
common_voice_id_25039783.wav,nama keluarga saya adalah wang
common_voice_id_25039784.wav,setelah minum saya mencuci gelas sampai bersih
common_voice_id_33371234.wav,saya berjalan kaki sampai stasiun
common_voice_id_33371235.wav,tadi pagi saya ketemu bapakmu
common_voice_id_26277256.wav,dia mengingatkan pada kakekku
common_voice_id_26277261.wav,aku ingin mati
common_voice_id_33021936.wav,pak lee berencana ada di jepang selama tiga tahun
common_voice_id_33021944.wav,daging sapi adalah daging yang paling mahal
common_voice_id_37484852.wav,sungai itu meluap dengan cepat karena hujan deras
common_voice_id_37484853.wav,sungai shinano paling panjang dibandingkan sungai lainnya di jepang
common_voice_id_34597895.wav,mesin cuci itu sedang di perbaiki
